attacks,card_format,card_number,card_type,damages,energy,evolution,evolved_from,expansion,hp,illustrators,languages,name,rarity,resistance,retreat_cost,variants,weakness
Forest Feast;Wood Hammer,Standard,175/192,"Full Art Pokémon,Pokémon V",0;220,Grass,Basic,,Rebel Clash,220,5ban Graphics,,Rillaboom V,Rare Ultra,,3,,Fire×2
,Standard,174/192,Special Energy,,,,,Rebel Clash,,,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Twin Energy,Uncommon,,,Unlimited;Reverse Holo,
,Standard,173/192,Special Energy,,,,,Rebel Clash,,,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Speed Lightning Energy,Uncommon,,,Unlimited;Reverse Holo,
,Standard,172/192,Special Energy,,,,,Rebel Clash,,,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Horror Psychic Energy,Uncommon,,,Unlimited;Reverse Holo,
,Standard,171/192,Special Energy,,,,,Rebel Clash,,,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Capture Energy,Uncommon,,,Unlimited;Reverse Holo,
,Standard,170/192,Stadium,,,,,Rebel Clash,,aky CG Works,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Turffield Stadium,Uncommon,,,Unlimited;Reverse Holo,
,Standard,169/192,Stadium,,,,,Rebel Clash,,5ban Graphics,,Training Court,Uncommon,,,,
Nine-Tailed Shapeshifter;Flamethrower,Standard,177/192,"Full Art Pokémon,Pokémon V",0;180,Fire,Basic,,Rebel Clash,200,Saki Hayashiro,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Ninetales V,Rare Ultra,,2,Unlimited,Water×2
,Standard,168/192,Item,,,,,Rebel Clash,,Studio Bora Inc.,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Tool Scrapper,Uncommon,,,Unlimited;Reverse Holo,
,Standard,167/192,Supporter,,,,,Rebel Clash,,Yusuke Ohmura,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Sonia,Uncommon,,,Unlimited;Reverse Holo,
,Standard,166/192,Supporter,,,,,Rebel Clash,,Hideki Ishikawa,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Skyla,Uncommon,,,Unlimited;Reverse Holo,
,Standard,165/192,Item,,,,,Rebel Clash,,Ryo Ueda,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Scoop Up Net,Uncommon,,,Unlimited;Reverse Holo,
,Standard,163/192,Supporter,,,,,Rebel Clash,,Yusuke Ohmura,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Oleana,Uncommon,,,Unlimited;Reverse Holo,
,Standard,164/192,Item,,,,,Rebel Clash,,Studio Bora Inc.,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Poké Ball,Uncommon,,,Unlimited;Reverse Holo,
,Standard,162/192,Item,,,,,Rebel Clash,,sadaji,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Nugget,Uncommon,,,Unlimited;Reverse Holo,
,Standard,201/192,"Full Art Trainer,Rainbow Trainer",,,,,Rebel Clash,,Hitoshi Ariga,,Milo,Rare Rainbow,,,,
,Standard,200/192,"Full Art Trainer,Rainbow Trainer",,,,,Rebel Clash,,nagimiso,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Boss's Orders,Rare Rainbow,,,Unlimited,
Dangerous Nose;G-Max Hammer,Standard,199/192,"Full Art Pokémon,Gigantamax Pokémon",100+;240,Metal,VMAX,Copperajah V,Rebel Clash,340,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Copperajah VMAX,Rare Rainbow,Grass-30,4,Unlimited,Fire×2
Max Jammer,Standard,198/192,"Dynamax Pokémon,Full Art Pokémon",180,Darkness,VMAX,Malamar V,Rebel Clash,310,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Malamar VMAX,Rare Rainbow,,2,Unlimited,Grass×2
Shred;Max Phantom,Standard,197/192,"Dynamax Pokémon,Full Art Pokémon",60;130,Psychic,VMAX,Dragapult V,Rebel Clash,320,aky CG Works,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Dragapult VMAX,Rare Rainbow,Fighting-30,1,Unlimited,Darkness×2
G-Max Riot,Standard,196/192,"Full Art Pokémon,Gigantamax Pokémon",160+,Lightning,VMAX,Toxtricity V,Rebel Clash,320,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Toxtricity VMAX,Rare Rainbow,,2,Unlimited,Fighting×2
Counter;Max Pyro Ball,Standard,194/192,"Dynamax Pokémon,Full Art Pokémon",30+;170,Fire,VMAX,Cinderace V,Rebel Clash,320,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Cinderace VMAX,Rare Rainbow,,2,Unlimited,Water×2
Hydro Snipe;Max Bullet,Standard,195/192,"Dynamax Pokémon,Full Art Pokémon",60;160,Water,VMAX,Inteleon V,Rebel Clash,320,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Inteleon VMAX,Rare Rainbow,,2,Unlimited,Lightning×2
Scratch;Max Beating,Standard,193/192,"Dynamax Pokémon,Full Art Pokémon",50;130+,Grass,VMAX,Rillaboom V,Rebel Clash,330,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Rillaboom VMAX,Rare Rainbow,,3,Unlimited,Fire×2
,Standard,191/192,"Full Art Trainer,Supporter",,,,,Rebel Clash,,kirisAki,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Oleana,Rare Ultra,,,Unlimited,
,Standard,192/192,"Full Art Trainer,Supporter",,,,,Rebel Clash,,Naoki Saito,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Sonia,Rare Ultra,,,Unlimited,
,Standard,190/192,"Full Art Trainer,Supporter",,,,,Rebel Clash,,Hitoshi Ariga,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Milo,Rare Ultra,,,Unlimited,
,Standard,189/192,"Full Art Trainer,Supporter",,,,,Rebel Clash,,nagimiso,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Boss's Orders,Rare Ultra,,,Unlimited,
Revenge Blast,Standard,188/192,"Full Art Pokémon,Pokémon V",120+,Colorless,Basic,,Rebel Clash,210,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Dubwool V,Rare Ultra,,2,Unlimited,Fighting×2
Adamantine Press;Wrack Down,Standard,187/192,"Full Art Pokémon,Pokémon V",90;180,Metal,Basic,,Rebel Clash,220,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Copperajah V,Rare Ultra,Grass-30,4,Unlimited,Fire×2
Drag Off;Brain Shake,Standard,186/192,"Full Art Pokémon,Pokémon V",0;130,Darkness,Basic,,Rebel Clash,210,Eske Yoshinob,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Malamar V,Rare Ultra,,2,Unlimited,Grass×2
Giga Impact,Standard,185/192,"Full Art Pokémon,Pokémon V",210,Fighting,Basic,,Rebel Clash,160,aky CG Works,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Falinks V,Rare Ultra,,2,Unlimited,Psychic×2
Crimson Legs,Standard,178/192,"Full Art Pokémon,Pokémon V",140,Fire,Basic,,Rebel Clash,210,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Cinderace V,Rare Ultra,,2,Unlimited,Water×2
Snipe Shot;Aqua Report,Standard,180/192,"Full Art Pokémon,Pokémon V",0;130,Water,Basic,,Rebel Clash,200,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Inteleon V,Rare Ultra,,2,Unlimited,Lightning×2
Sand Eater;Sand Breath,Standard,184/192,"Full Art Pokémon,Pokémon V",30;220,Fighting,Basic,,Rebel Clash,220,aky CG Works,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Sandaconda V,Rare Ultra,,3,Unlimited,Grass×2
Aqua Impact;Hypno Splash,Standard,179/192,"Full Art Pokémon,Pokémon V",10+;150,Water,Basic,,Rebel Clash,210,Ayaka Yoshida,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Milotic V,Rare Ultra,,2,Unlimited,Lightning×2
Electrify;Bolt Storm,Standard,181/192,"Full Art Pokémon,Pokémon V",0;10+,Lightning,Basic,,Rebel Clash,200,aky CG Works,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Boltund V,Rare Ultra,,2,Unlimited,Fighting×2
Poison Jab;Electric Riot,Standard,182/192,"Full Art Pokémon,Pokémon V",20;90+,Lightning,Basic,,Rebel Clash,210,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Toxtricity V,Rare Ultra,,2,Unlimited,Fighting×2
Bite;Jet Assault,Standard,183/192,"Full Art Pokémon,Pokémon V",30;60+,Psychic,Basic,,Rebel Clash,210,aky CG Works,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Dragapult V,Rare Ultra,Fighting-30,1,Unlimited,Darkness×2
,Standard,161/192,Supporter,,,,,Rebel Clash,,take,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Milo,Uncommon,,,Unlimited;Reverse Holo,
,Standard,160/192,Stadium,,,,,Rebel Clash,,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Galar Mine,Uncommon,,,Unlimited;Reverse Holo,
,Standard,157/192,"Item,Pokémon Tool",,,,,Rebel Clash,,Toyste Beach,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Cursed Shovel,Uncommon,,,Unlimited;Reverse Holo,
,Standard,158/192,Supporter,,,,,Rebel Clash,,Hitoshi Ariga,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Dan,Uncommon,,,Unlimited;Reverse Holo,
,Standard,159/192,Item,,,,,Rebel Clash,,Yoshinobu Saito,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Full Heal,Uncommon,,,Unlimited;Reverse Holo,
,Standard,154/192,Supporter,,,,,Rebel Clash,,nagimiso,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Boss's Orders,Rare Holo,,,Unlimited;Reverse Holo;Non-holo,
,Standard,156/192,Item,,,,,Rebel Clash,,sadaji,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Capacious Bucket,Uncommon,,,Unlimited;Reverse Holo,
,Standard,155/192,"Item,Pokémon Tool",,,,,Rebel Clash,,Toyste Beach,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Burning Scarf,Uncommon,,,Unlimited;Reverse Holo,
Revenge Blast,Standard,153/192,Pokémon V,120+,Colorless,Basic,,Rebel Clash,210,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Dubwool V,Rare Holo V,,2,Unlimited,Fighting×2
Hammer Arm;Big Throw,Standard,150/192,Pokémon,90;0,Colorless,Stage 1,Stufful,Rebel Clash,140,Ryuta Fuse,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Bewear,Uncommon,,3,Unlimited;Reverse Holo,Fighting×2
Tail Smack,Standard,152/192,Pokémon,80,Colorless,Stage 1,Skwovet,Rebel Clash,120,kirisAki,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Greedent,Rare,,1,Unlimited;Reverse Holo,Fighting×2
Tackle;Jump On,Standard,149/192,Pokémon,10;40+,Colorless,Basic,,Rebel Clash,80,so-taro,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Stufful,Common,,2,Unlimited;Reverse Holo,Fighting×2
Windfall;Speed Attack,Standard,148/192,Pokémon,0;30,Colorless,Basic,,Rebel Clash,90,tetsuya koizumi,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Hawlucha,Uncommon,Fighting-30,1,Unlimited;Reverse Holo,Lightning×2
Mining Rush;Headbutt Bounce,Standard,147/192,Pokémon,30×;110,Colorless,Stage 1,Bunnelby,Rebel Clash,130,kodama,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Diggersby,Rare,,3,Unlimited;Reverse Holo,Fighting×2
Burrow;Headbutt Bounce,Standard,146/192,Pokémon,0;50,Colorless,Basic,,Rebel Clash,70,Yuka Morii,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Bunnelby,Common,,1,Unlimited;Reverse Holo,Fighting×2
Daunt;Air Slash,Standard,145/192,Pokémon,50;150,Colorless,Stage 2,Tranquill,Rebel Clash,150,Naoyo Kimura,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Unfezant,Rare,Fighting-30,1,Unlimited;Reverse Holo,Lightning×2
Razor Wing;Gust,Standard,144/192,Pokémon,40;60,Colorless,Stage 1,Pidove,Rebel Clash,80,Saya Tsuruta,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Tranquill,Uncommon,Fighting-30,1,Unlimited;Reverse Holo,Lightning×2
Adamantine Press;Wrack Down,Standard,136/192,Pokémon V,90;180,Metal,Basic,,Rebel Clash,220,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Copperajah V,Rare Holo V,Grass-30,4,Unlimited,Fire×2
Power Edge,Standard,135/192,Pokémon,130,Metal,Stage 2,Doublade,Rebel Clash,140,Ryuta Fuse,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Aegislash,Rare,Grass-30,3,Unlimited;Reverse Holo,Fire×2
Glide,Standard,142/192,Pokémon,30,Colorless,Basic,,Rebel Clash,70,ryoma uratsuka,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Chatot,Uncommon,Fighting-30,1,Unlimited;Reverse Holo,Lightning×2
Metal Sharpener;Power Beam,Standard,138/192,Pokémon,30;110,Metal,Basic,,Rebel Clash,130,Shin Nagasawa,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Duraludon,Rare Holo,Grass-30,2,Unlimited;Reverse Holo;Non-holo,Fire×2
Dangerous Nose;G-Max Hammer,Standard,137/192,"Full Art Pokémon,Gigantamax Pokémon",100+;240,Metal,VMAX,Copperajah V,Rebel Clash,340,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Copperajah VMAX,Rare Holo VMAX,Grass-30,4,Unlimited,Fire×2
Slash;Double Slash,Standard,134/192,Pokémon,30;80×,Metal,Stage 1,Honedge,Rebel Clash,90,Aya Kusube,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Doublade,Uncommon,Grass-30,2,Unlimited;Reverse Holo,Fire×2
Collect;Collapse,Standard,141/192,Pokémon,0;120,Colorless,Basic,,Rebel Clash,150,Eri Yamaki,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Snorlax,Rare,,4,Unlimited;Reverse Holo,Fighting×2
Energy Stream;Smashing Edge,Standard,139/192,Pokémon,30;120,Metal,Basic,,Rebel Clash,120,Hideki Ishikawa,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Zacian,Rare,Grass-30,2,Unlimited;Reverse Holo;Cracked Ice Holo,Fire×2
Chirp;Razor Wing,Standard,143/192,Pokémon,0;20,Colorless,Basic,,Rebel Clash,60,Ryota Murayama,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Pidove,Common,Fighting-30,1,Unlimited;Reverse Holo,Lightning×2
Guard Press;Power Rush,Standard,140/192,Pokémon,30;120,Metal,Basic,,Rebel Clash,120,Hideki Ishikawa,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Zamazenta,Rare,Grass-30,2,Unlimited;Reverse Holo;Cracked Ice Holo,Fire×2
Slicing Blade,Standard,133/192,Pokémon,30,Metal,Basic,,Rebel Clash,60,Sekio,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Honedge,Common,Grass-30,1,Unlimited;Reverse Holo,Fire×2
Gathering Food;Metal Claw,Standard,132/192,Pokémon,0;80,Metal,Basic,,Rebel Clash,100,Hideki Ishikawa,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Durant,Uncommon,Grass-30,1,Unlimited;Reverse Holo,Fire×2
Gravitational Drop;Heavy Impact,Standard,131/192,Pokémon,10+;120,Metal,Stage 1,Nosepass,Rebel Clash,140,Anesaki Dynamic,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Probopass,Rare,Grass-30,4,Unlimited;Reverse Holo,Fire×2
Smack;Gyro Ball,Standard,130/192,Pokémon,30;70,Metal,Stage 1,Bronzor,Rebel Clash,130,MAHOU,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Bronzong,Uncommon,Grass-30,3,Unlimited;Reverse Holo,Fire×2
Ram;Speed Dive,Standard,129/192,Pokémon,10;20,Metal,Basic,,Rebel Clash,60,Midori Harada,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Bronzor,Common,Grass-30,1,Unlimited;Reverse Holo,Fire×2
Raid;Guard Claw,Standard,128/192,Pokémon,30+;90,Metal,Stage 1,Scyther,Rebel Clash,130,Ryuta Fuse,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Scizor,Rare,Grass-30,1,Unlimited;Reverse Holo,Fire×2
Bite;False Surrender,Standard,124/192,Pokémon,30;60,Darkness,Stage 1,Impidimp,Rebel Clash,90,Hitoshi Ariga,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Morgrem,Uncommon,,2,Unlimited;Reverse Holo,Grass×2
Beat;Stampede,Standard,123/192,Pokémon,10;20,Darkness,Basic,,Rebel Clash,70,Kouki Saitou,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Impidimp,Common,,1,Unlimited;Reverse Holo,Grass×2
Max Jammer,Standard,122/192,"Dynamax Pokémon,Full Art Pokémon",180,Darkness,VMAX,Malamar V,Rebel Clash,310,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Malamar VMAX,Rare Holo VMAX,,2,Unlimited,Grass×2
Drag Off;Brain Shake,Standard,121/192,Pokémon V,0;130,Darkness,Basic,,Rebel Clash,210,Eske Yoshinob,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Malamar V,Rare Holo V,,2,Unlimited,Grass×2
Bone Rush;Blindside,Standard,120/192,Pokémon,30×;0,Darkness,Stage 1,Vullaby,Rebel Clash,120,kodama,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Mandibuzz,Rare,Fighting-30,2,Unlimited;Reverse Holo,Lightning×2
Pluck,Standard,119/192,Pokémon,10,Darkness,Basic,,Rebel Clash,60,Shibuzoh.,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Vullaby,Common,Fighting-30,1,Unlimited;Reverse Holo,Lightning×2
Sludge Bomb,Standard,118/192,Pokémon,80,Darkness,Stage 1,Trubbish,Rebel Clash,120,AKIRA EGAWA,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Garbodor,Rare,,2,Unlimited;Reverse Holo,Fighting×2
Venoshock,Standard,117/192,Pokémon,20+,Darkness,Basic,,Rebel Clash,60,HYOGONOSUKE,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Trubbish,Common,,1,Unlimited;Reverse Holo,Fighting×2
Splitting Spite;Dripping Grudge,Standard,116/192,Pokémon,0;0,Darkness,Basic,,Rebel Clash,60,Tomokazu Komiya,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Spiritomb,Rare,,2,Unlimited;Reverse Holo,Grass×2
Slash;Poison Ring,Standard,115/192,Pokémon,50;80,Darkness,Stage 1,Stunky,Rebel Clash,120,sowsow,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Skuntank,Uncommon,,3,Unlimited;Reverse Holo,Fighting×2
Poison Gas,Standard,114/192,Pokémon,10,Darkness,Basic,,Rebel Clash,70,Shigenori Negishi,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Stunky,Common,,2,Unlimited;Reverse Holo,Fighting×2
Severe Poison,Standard,113/192,Galarian Pokémon,0,Darkness,Stage 1,Koffing,Rebel Clash,130,Mitsuhiro Arita,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Galarian Weezing,Rare Holo,,3,Unlimited;Reverse Holo,Fighting×2
Suffocating Gas,Standard,112/192,Pokémon,10,Darkness,Basic,,Rebel Clash,70,Kyoko Umemoto,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Koffing,Common,,1,Unlimited;Reverse Holo,Fighting×2
