name,expansion
Crabominable,SM Black Star Promos
Oranguru,Unified Minds
Magmar,Ultra Prism
Magmortar,DP Black Star Promos
Magmortar,Furious Fists
Magmortar,Mysterious Treasures
Magmortar,Rebel Clash
Torterra,Plasma Storm
Snorlax LV.X,Rising Rivals
Pyroar,Forbidden Light
Skarmory,Darkness Ablaze
Hoopa,Unified Minds
Hoopa,Shining Legends
Moltres-EX,Plasma Storm
Butterfree,Rebel Clash
Magcargo,XY
Butterfree,Sun & Moon
Eelektrik,Dark Explorers
Torkoal,Flashfire
Moltres,Legendary Collection
Moltres,Supreme Victors
Garbodor,Vivid Voltage
Garchomp,BREAKpoint
Moltres,Fossil
Dustox,Roaring Skies
Volcarona,Ancient Origins
Blastoise ex,EX FireRed & LeafGreen
Machamp,Furious Fists
Machamp,Generations
Moltres,Fates Collide
Moltres,XY Black Star Promos
Machamp,XY Black Star Promos
Machamp-EX,Ancient Origins
Machamp-EX,XY Black Star Promos
Graveler,Flashfire
Tornadus,BW Black Star Promos
Blaziken,EX Ruby & Sapphire
Machoke,Evolutions
Tornadus,Emerging Powers
Hydreigon-EX,Roaring Skies
Garchomp,Unified Minds
Buzzwole,Hidden Fates
Buzzwole,Forbidden Light
Hydreigon,Plasma Freeze
Dragonite,Triumphant
Magcargo,Cosmic Eclipse
Onix,Unleashed
Magmortar,Ultra Prism
Torterra,Platinum
Vaporeon,Hidden Fates
Gastrodon East Sea,Secret Wonders
Gastrodon West Sea,Secret Wonders
Blaziken FB LV.X,Supreme Victors
Dragonium Z: Dragon Claw,Cosmic Eclipse
Vanilluxe,Guardians Rising
Mandibuzz,Boundaries Crossed
Mandibuzz,Fates Collide
Quagsire,Ancient Origins
Azumarill,Burning Shadows
Manectric,Dragons Exalted
Simisear,Noble Victories
Snorlax,Call of Legends
Crustle,Noble Victories
Druddigon,Flashfire
Crabominable,Cosmic Eclipse
Druddigon,Dragon Vault
Crabominable,Burning Shadows
Rampardos,Platinum
Toxapex,Darkness Ablaze
Grotle,Ultra Prism
Numel,Unified Minds
Cobalion,Legendary Treasures
Cobalion,Lost Thunder
Hitmonlee,Sword & Shield
Blissey,HeartGold & SoulSilver
Cobalion,Noble Victories
Ursaring,Plasma Blast
Mamoswine,BREAKthrough
Genesect,Plasma Blast
Magneton,Forbidden Light
Magnezone,Stormfront
Gardevoir ex δ,EX Dragon Frontiers
Tangrowth,Primal Clash
Magneton,Base Set
Tangrowth,XY Trainer Kit (Latias)
Venusaur-EX,Generations
Articuno-EX,Plasma Storm
Magneton,Base Set 2
Venusaur,POP Series 2
Magneton,Evolutions
Torterra,Unleashed
Magneton,Hidden Fates
Magneton,Ultra Prism
Magnezone,Plasma Storm
Bewear,SM Trainer Kit (Alolan Raichu)
Magnezone LV.X,Legends Awakened
Malamar,Champion's Path
Malamar,Unbroken Bonds
Torterra,Stormfront
Dragonite-EX,Furious Fists
Politoed ex,EX Unseen Forces
Raticate,Unbroken Bonds
Porygon-Z,Ancient Origins
Seismitoad,Legendary Treasures
Darmanitan,Black & White
Dugtrio,Base Set 2
Dugtrio,Platinum
Politoed,Furious Fists
Dugtrio,Darkness Ablaze
Darmanitan,Emerging Powers
Entei,Call of Legends
Poliwrath,Neo Discovery
Escavalier,Dark Explorers
Dugtrio,Base Set
Seismitoad,Noble Victories
Rapidash,Steam Siege
Excadrill,Dark Explorers
Scrafty,Unified Minds
Escavalier,Noble Victories
Drifblim,Plasma Blast
Politoed,Skyridge
Drifblim,Unified Minds
Entei ☆,EX Unseen Forces
Espeon-EX,BREAKpoint
Dark Charmeleon,Team Rocket
Slaking,EX Deoxys
Simisage,XY
Rhydon,XY Trainer Kit (Latios)
Shiftry ex,EX Crystal Guardians
Rhydon,Primal Clash
Dragonite δ,EX Delta Species
Simipour,XY
Probopass G,DP Black Star Promos
Reuniclus,Plasma Blast
Probopass,Platinum
Snorlax,Kalos Starter Set
Rayquaza ex δ,EX Dragon Frontiers
Simisear,Emerging Powers
Crustle,Legendary Treasures
Crustle,Dark Explorers
Dialga,Call of Legends
Dhelmise,SM Black Star Promos
Dhelmise,Guardians Rising
Salamence,Arceus
Crustle,Boundaries Crossed
Diggersby,Primal Clash
Dusknoir,DP Black Star Promos
Rhyhorn,Sword & Shield
Electabuzz,Rebel Clash
Rocket's Zapdos,Gym Challenge
Dustox ex,EX Legend Maker
Dark Dragonite,Legendary Collection
Dark Dragonite,Team Rocket
Donphan,Secret Wonders
Rocket's Mewtwo ex,EX Team Rocket Returns
Dustox,Lost Thunder
Dark Ampharos,EX Team Rocket Returns
Dragonair,Dragon Vault
Donphan,Lost Thunder
Dragonair,Unified Minds
Donphan,Call of Legends
Eiscue,Rebel Clash
Cloyster,BREAKpoint
Roserade,Flashfire
Electabuzz,EX Unseen Forces
Sigilyph,Plasma Blast
Dark Marowak,EX Team Rocket Returns
Skarmory,Boundaries Crossed
Cofagrigus,Plasma Freeze
Sawk,Dragons Exalted
Dark Tyranitar,EX Team Rocket Returns
Regice,Crimson Invasion
Regice,Ancient Origins
Sceptile,Arceus
Sharpedo,Guardians Rising
Sceptile,EX Ruby & Sapphire
Raikou ex,EX Team Magma vs Team Aqua
Raikou ☆,EX Unseen Forces
Empoleon,Diamond & Pearl
Skuntank,Flashfire
Cresselia,BREAKthrough
Empoleon,Legendary Treasures
Scolipede,XY
Serperior,Boundaries Crossed
Scrafty,Black & White
Rayquaza δ,EX Delta Species
Scrafty,Dark Explorers
Empoleon,BW Black Star Promos
Empoleon,BREAKthrough
Quilladin,XY
Raikou,HGSS Black Star Promos
Drampa,Cosmic Eclipse
Dewgong,Supreme Victors
Combusken,Dark Explorers
Raboot,Sword & Shield
Salazzle,Battle Academy (Charizard)
Raichu,Arceus
Raichu,BREAKthrough
Raichu,Evolutions
Samurott,BW Black Star Promos
Drapion E4,Rising Rivals
Samurott,Legendary Treasures
Crobat V,Darkness Ablaze
Electrode,Rebel Clash
Electrode,Roaring Skies
Raichu ex,EX Emerald
Registeel,Ancient Origins
Raikou,Call of Legends
Electrode,Evolutions
Bouffalant,Plasma Storm
Noctowl,BREAKthrough
Turtonator,SM Black Star Promos
Lucario,Fates Collide
Lucario,Call of Legends
Vigoroth,XY Trainer Kit (Bisharp)
Vigoroth,Unified Minds
Turtonator,Burning Shadows
Whiscash,EX Deoxys
Hakamo-o,Dragon Majesty
Noivern BREAK,BREAKthrough
Vigoroth,Furious Fists
Gengar,Unbroken Bonds
Type: Null,Crimson Invasion
Gengar,Crimson Invasion
Jolteon,Call of Legends
Jolteon,Cosmic Eclipse
Girafarig,Lost Thunder
Lucario,Hidden Fates
Mewtwo,Pokémon Rumble
Giratina,Unified Minds
Ludicolo,Detective Pikachu
Gumshoos,SM Black Star Promos
Ludicolo,Celestial Storm
Ninetales,Primal Clash
Ninetales,Sword & Shield
Team Aqua's Sharpedo,Double Crisis
Altaria ex,EX Emerald
Noivern,Forbidden Light
Gumshoos,Ultra Prism
Lucario,Ultra Prism
Noctowl,Burning Shadows
Lucario,Plasma Storm
Huntail,Primal Clash
Vileplume,Ancient Origins
Type: Null,Hidden Fates
Jolteon,Undaunted
Type: Null,Ultra Prism
Metagross,EX Deoxys
Houndoom,Undaunted
Leavanny,Unified Minds
Butterfree,Unbroken Bonds
Leavanny,Plasma Storm
Swoobat,Vivid Voltage
Leavanny,Phantom Forces
Tyranitar ex δ,EX Dragon Frontiers
Jolteon ex,EX Delta Species
Houndoom,EX Unseen Forces
Alolan Raichu,SM Trainer Kit (Alolan Raichu)
Alolan Raichu,SM Black Star Promos
Alolan Raichu,Crimson Invasion
Alolan Raichu,Battle Academy (Pikachu)
Houndoom,Dragons Exalted
Metagross,Undaunted
Oricorio,Celestial Storm
Gardevoir,Lost Thunder
Oranguru,Vivid Voltage
Kabutops ex,EX Sandstorm
Oranguru,Sword & Shield
Kabutops,Majestic Dawn
Wigglytuff,Lost Thunder
Butterfree,Generations
Butterfree,Flashfire
Oranguru,Crimson Invasion
Metagross ex,EX Power Keepers
Typhlosion,HGSS Black Star Promos
Tangrowth,Boundaries Crossed
Jolteon-EX,Generations
Tapu Lele,Lost Thunder
Tapu Lele,SM Black Star Promos
Ludicolo,Plasma Storm
Weavile,Burning Shadows
Garbodor,Guardians Rising
Walrein,Primal Clash
Wailord,EX Ruby & Sapphire
Arcanine,Skyridge
Lycanroc,Vivid Voltage
Walrein,Mysterious Treasures
Togekiss,Unbroken Bonds
Togekiss,Roaring Skies
Walrein,Rising Rivals
Graveler,Arceus
Walrein ex,EX Power Keepers
Golisopod,Darkness Ablaze
Bisharp,Kalos Starter Set
Arcanine,EX Trainer Kit 2 (Minun)
Arcanine,EX FireRed & LeafGreen
Hypno,Sun & Moon
Bisharp,XY Trainer Kit (Bisharp)
Wailmer,McDonald's Collection 2018 (French)
Bronzong,Team Up
Armaldo δ,EX Holon Phantoms
Volcarona,Dark Explorers
Volcarona,BW Black Star Promos
Toxapex,Unified Minds
Toxapex,Battle Academy (Mewtwo)
Mismagius,Legendary Treasures
Mismagius,Unbroken Bonds
Misty's Gyarados,Gym Challenge
Wailmer,Guardians Rising
Armaldo ex,EX Legend Maker
Greninja,Unbroken Bonds
Milotic ex,EX Emerald
Ariados,Lost Thunder
Arctozolt,SWSH Black Star Promos
Arctozolt,Darkness Ablaze
Throh,Dragons Exalted
Thievul,Darkness Ablaze
Braixen,BREAKthrough
Mewtwo,Unbroken Bonds
Araquanid,Sun & Moon
Bronzong,BREAKthrough
Appletun,Rebel Clash
Glalie,Guardians Rising
Tropius,Celestial Storm
Ampharos,Secret Wonders
Ampharos,Platinum
Mienshao,Boundaries Crossed
Team Magma's Claydol,Double Crisis
Ampharos,POP Series 7
Glaceon-EX,Fates Collide
Glaceon LV.X,Majestic Dawn
Bronzong,Rebel Clash
Ampharos,Dragons Exalted
Nidoqueen,Primal Clash
Araquanid,Ultra Prism
Arbok,Champion's Path
Brock's Rhyhorn,Gym Heroes
Brock's Rhydon,Gym Heroes
Gliscor,Unbroken Bonds
Luxio,Legends Awakened
Gogoat,XY
Breloom,Furious Fists
Golduck,BREAKpoint
Breloom,EX Deoxys
Trevenant,BREAKpoint
Arbok,Shining Legends
Wartortle,Team Up
Luxray GL,Rising Rivals
Golem,EX Legend Maker
Tentacruel,Team Up
Alolan Ninetales-GX,Lost Thunder
Garchomp,Mysterious Treasures
Toxicroak,Sword & Shield
Florges,BREAKthrough
Steelix ex,EX Unseen Forces
Stonjourner,Sword & Shield
Yanmega,POP Series 8
Yanmega,Dragons Exalted
Pikachu,XY Black Star Promos
Stunfisk,Legendary Treasures
Feraligatr,Expedition Base Set
Stunfisk,Shining Legends
Lairon,Unbroken Bonds
Wobbuffet V,Sword & Shield
Feraligatr,Box Toppers (e-Card Series)
Vaporeon,Vivid Voltage
Fearow,Unbroken Bonds
Malamar,Burning Shadows
Flygon ex,EX Power Keepers
Florges,Forbidden Light
Lanturn,Celestial Storm
Vanilluxe,BREAKthrough
Keldeo,Boundaries Crossed
Flygon,Furious Fists
Aurorus,Furious Fists
Flygon,POP Series 4
Lapras,Dragon Majesty
Absol,Triumphant
Suicune,Lost Thunder
Honchkrow,Dragons Exalted
Vanilluxe,Plasma Storm
Suicune,SM Black Star Promos
Barbaracle,Fates Collide
Malamar,XY
Yanmega,Supreme Victors
Yanmega,Triumphant
Marowak,Unbroken Bonds
Hippopotas,Darkness Ablaze
Marshtomp,Celestial Storm
Krokorok,Dark Explorers
Krookodile,Emerging Powers
Aerodactyl-EX,XY Black Star Promos
Zebstrika,Vivid Voltage
Zebstrika,Black & White
Kingler,Expedition Base Set
Flareon,EX Sandstorm
Zapdos,Pokémon Rumble
Mamoswine,Triumphant
Flareon,Majestic Dawn
Accelgor,Darkness Ablaze
Heracross,Unified Minds
Feraligatr ex,EX Unseen Forces
Aggron,EX Legend Maker
Accelgor,Crimson Invasion
Flareon,POP Series 3
Flareon ex,EX Delta Species
Aggron,EX Power Keepers
Charmeleon,Burning Shadows
Aggron,EX Ruby & Sapphire
Pinsir,Next Destinies
Pinsir,Lost Thunder
Charjabug,Rebel Clash
Aggron,Rising Rivals
Unfezant,Black & White
Suicune,Plasma Blast
Suicune ☆,EX Unseen Forces
Galarian Perrserker,SWSH Black Star Promos
Magneton,BREAKthrough
Pelipper,Roaring Skies
Venusaur,Dark Explorers
Zweilous,Darkness Ablaze
Manectric,Mysterious Treasures
Manectric,Primal Clash
Galarian Linoone,Sword & Shield
Passimian,Darkness Ablaze
Passimian,Cosmic Eclipse
Parasect,Sun & Moon
Meowstic,Unbroken Bonds
Articuno,Team Up
Galarian Perrserker,Sword & Shield
Kangaskhan-EX,Flashfire
Swanna,Cosmic Eclipse
Swanna,Darkness Ablaze
Swanna,Emerging Powers
Latias-EX,Plasma Freeze
Heatmor,BREAKpoint
Alolan Marowak,Crimson Invasion
Latios,Shining Legends
Exploud,Great Encounters
Klinklang,Steam Siege
Latios,XY Black Star Promos
Latios,XY Trainer Kit (Latios)
Klinklang,Plasma Storm
Wormadam Trash Cloak,Secret Wonders
Pelipper,Arceus
Pignite,Black & White
Hitmonchan,Team Up
Pikachu,Cosmic Eclipse
Absol,Cosmic Eclipse
Lapras,McDonald's Collection 2019
Pignite,Legendary Treasures
Umbreon-EX,Fates Collide
Absol,Champion's Path
Fearow,Roaring Skies
Kartana-GX,Crimson Invasion
Chandelure-EX,Legendary Treasures
Chandelure,Plasma Freeze
Vaporeon,Ancient Origins
Fraxure,Unified Minds
Azumarill,Boundaries Crossed
Kartana-GX,Hidden Fates
Lapras,Plasma Blast
Koga's Beedrill,Gym Challenge
Lapras,Sword & Shield
Umbreon,Plasma Freeze
Lapras,SWSH Black Star Promos
Manectric-EX,Phantom Forces
Dragapult V,Rebel Clash
Manectric,Arceus
Manaphy-EX,BREAKpoint
Dragonair,Roaring Skies
Machoke,Base Set
Rocket's Hitmonchan ex,EX Team Rocket Returns
Hitmontop,HeartGold & SoulSilver
Machamp,EX Power Keepers
Ho-Oh,POP Series 5
Dragonair,Dragon Majesty
Machamp,Legendary Collection
Machamp,Stormfront
Rocket's Mewtwo,Gym Challenge
Rocket's Mewtwo,Best of Game
Mamoswine GL,Rising Rivals
Houndoom,Aquapolis
Dragonair,Sun & Moon
Rhyperior,Supreme Victors
Honchkrow,Phantom Forces
Rhydon,EX Emerald
Magneton,EX Legend Maker
Magcargo,Skyridge
Magcargo,Undaunted
Honchkrow,Unified Minds
Honchkrow LV.X,Secret Wonders
Rhydon,Supreme Victors
Magearna,Ultra Prism
Mamoswine,Stormfront
Houndoom,Plasma Blast
Dragalge,XY Black Star Promos
Magmortar,Triumphant
Houndoom,Legends Awakened
Magmortar,Supreme Victors
Rhyhorn,Burning Shadows
Dragonite,Wizards Black Star Promos
Magmar,Evolutions
Rhyperior E4,Rising Rivals
Rhyperior LV.X,DP Black Star Promos
Rhyperior LV.X,Legends Awakened
Magcargo,Great Encounters
Reuniclus,Noble Victories
Mamoswine,Legends Awakened
Machoke,Base Set 2
Malamar-EX,Phantom Forces
Dragonite,Dragon Vault
Machoke,DP Trainer Kit (Lucario)
Malamar,SM Black Star Promos
Malamar,Hidden Fates
Machoke,Diamond & Pearl
Machoke,Plasma Blast
Malamar,Forbidden Light
Makuhita,Plasma Freeze
Machoke,Triumphant
Hydreigon,Noble Victories
Rhydon,Diamond & Pearl
Hydreigon,Next Destinies
Ho-oh,Wizards Black Star Promos
Machoke,Legendary Collection
Excadrill,Primal Clash
Dragalge,Forbidden Light
Kangaskhan,Dragon Majesty
Lanturn,Legends Awakened
Lanturn,Sun & Moon
Lanturn,Unleashed
Keldeo,BW Black Star Promos
Kecleon,Secret Wonders
Scizor,Lost Thunder
Kecleon,Lost Thunder
Lapras,Next Destinies
Sceptile-EX,Ancient Origins
Sceptile ex δ,EX Crystal Guardians
Sceptile,Stormfront
Sceptile,EX Emerald
Sawsbuck,Emerging Powers
Dragalge,Flashfire
Sawsbuck,Cosmic Eclipse
Sawsbuck,Black & White
Latias,XY Black Star Promos
Sawk,Plasma Blast
Latias,XY Trainer Kit (Latias)
Latios,Dragon Vault
Deoxys,Call of Legends
Sandslash,Mysterious Treasures
Sandslash,EX Sandstorm
Kangaskhan,Battle Academy (Charizard)
Deoxys δ,EX Holon Phantoms
Latios ex δ,EX Dragon Frontiers
Landorus,Unbroken Bonds
Kingdra,Aquapolis
Lairon,Undaunted
Lairon,Dragons Exalted
Klang,McDonald's Collection 2012
Klang,Emerging Powers
Klang,Darkness Ablaze
Sealeo,Flashfire
Klang,Black & White
Kirlia,Platinum
Kirlia,EX Sandstorm
Kirlia,EX Dragon Frontiers
Dedenne,McDonald's Collection 2016
Dedenne,Phantom Forces
Scyther,Dark Explorers
Deino,Crimson Invasion
Krokorok,Flashfire
Krokorok,Sun & Moon
Krokorok,XY
Krookodile,Black & White
Krookodile,Dark Explorers
Krookodile,Dragons Exalted
Kyogre,Legends Awakened
Kingdra-EX,Fates Collide
Kyogre ex,Nintendo Black Star Promos
Kyogre ☆,EX Delta Species
Kingdra,Unleashed
Delcatty,Platinum
Delcatty ex,EX Crystal Guardians
Leafeon,Majestic Dawn
Leafeon,Plasma Freeze
Leafeon,Rising Rivals
Dialga,Majestic Dawn
Ludicolo,Platinum
Ludicolo,Secret Wonders
Ludicolo δ,EX Crystal Guardians
Lugia,Fates Collide
Diancie,Generations
Diancie,Phantom Forces
Diancie-EX,Fates Collide
Lunatone,Triumphant
Luxio,Next Destinies
Luxray,Arceus
Luxray GL LV.X,Rising Rivals
Lycanroc,Cosmic Eclipse
Dodrio,Plasma Storm
Roserade,Dragons Exalted
Hypno,Great Encounters
Donphan,EX Ruby & Sapphire
Hypno,Furious Fists
Doublade,Primal Clash
Machamp,Base Set
Machamp,Diamond & Pearl
Machamp,EX Hidden Legends
Rocket's Zapdos ex,EX Team Rocket Returns
Machamp,EX Legend Maker
Dragalge,BREAKpoint
Rocket's Snorlax ex,EX Team Rocket Returns
Sabrina's Alakazam,Gym Challenge
Mantine,SWSH Black Star Promos
Leavanny,Emerging Powers
Lucario,Unbroken Bonds
Salazzle,Unbroken Bonds
Salazzle,Ultra Prism
Lickilicky,Furious Fists
Lickilicky,Platinum
Lickilicky,Unbroken Bonds
Dewgong,Mysterious Treasures
Kabutops,EX Power Keepers
Liepard,Shining Legends
Kabutops,Arceus
Lileep,Cosmic Eclipse
Lilligant,Emerging Powers
Dewgong,Unbroken Bonds
Litleo,Flashfire
Jirachi-EX,Plasma Blast
Litten,Unbroken Bonds
Lombre,Platinum
Lopunny,Boundaries Crossed
Salamence,EX Dragon
Lopunny,Ultra Prism
Ivysaur,Secret Wonders
Loudred,Celestial Storm
Lucario,BW Black Star Promos
Lucario,Legends Awakened
Dhelmise,Vivid Voltage
Lucario,POP Series 8
Hitmontop,Call of Legends
Metagross,Unleashed
Mantine,Sword & Shield
Galvantula,Sword & Shield
Garbodor,BREAKpoint
Garbodor,Dragons Exalted
Garbodor,Legendary Treasures
Garbodor,Noble Victories
Garbodor,Plasma Freeze
Palpitoad,Cosmic Eclipse
Palpitoad,BREAKpoint
Palkia LV.X,Great Encounters
Palkia LV.X,DP Black Star Promos
Palkia,Platinum
Eelektrik,Vivid Voltage
Palkia,Majestic Dawn
Palkia,Call of Legends
Dustox,Platinum
Gardevoir,Dark Explorers
Pancham,Guardians Rising
Galvantula,Phantom Forces
Pheromosa-GX,SM Black Star Promos
Gallade,Secret Wonders
Galarian Cursola,Rebel Clash
Galarian Cursola V,Champion's Path
Pelipper,Sun & Moon
Galarian Linoone,Champion's Path
Electivire,Furious Fists
Electivire,Diamond & Pearl
Parasect,Mysterious Treasures
Parasect,HeartGold & SoulSilver
Pansear,Noble Victories
Galarian Stunfisk V,Darkness Ablaze
Gallade,BREAKthrough
Gallade,Legendary Treasures
Electabuzz,Triumphant
Gallade,POP Series 7
Electabuzz,Secret Wonders
Dusknoir,Stormfront
Dusknoir,Plasma Blast
Purugly,Ultra Prism
Gardevoir,EX Emerald
Dusknoir,Cosmic Eclipse
Quagsire,HeartGold & SoulSilver
Gengar-EX,Phantom Forces
Quagsire,Hidden Fates
Gigalith,Phantom Forces
Quagsire,Neo Genesis
Quagsire,Plasma Freeze
Quagsire,Secret Wonders
Nuzleaf,EX Sandstorm
Giovanni's Machoke,Gym Challenge
Numel,Boundaries Crossed
Noivern,XY Trainer Kit (Noivern)
Dusknoir,Boundaries Crossed
Noctowl BREAK,XY Black Star Promos
Noctowl,Unified Minds
Quagsire,Dragon Majesty
Gengar ex,EX FireRed & LeafGreen
Gengar,EX Legend Maker
Gardevoir,Platinum
Gardevoir,Next Destinies
Oranguru,Ultra Prism
Oranguru,Sun & Moon
Oranguru,SM Black Star Promos
Pyroar,Flashfire
Oranguru,Hidden Fates
Gardevoir,Secret Wonders
Gengar,Arceus
Onix,Plasma Freeze
Gastrodon,Steam Siege
Omastar,Team Up
Omastar,Fates Collide
Gastrodon West Sea,Rising Rivals
Pyukumuku,Unbroken Bonds
Gabite,POP Series 9
Probopass,Legends Awakened
Quilava,HeartGold & SoulSilver
Feraligatr,HGSS Black Star Promos
Feraligatr δ,EX Dragon Frontiers
Ferroseed,Next Destinies
Ferrothorn,Emerging Powers
Flaaffy,POP Series 7
Poliwrath,Unleashed
Flaaffy,Secret Wonders
Espeon,BW Black Star Promos
Flaaffy,Team Up
Flapple,Rebel Clash
Escavalier,Phantom Forces
Flapple,SWSH Black Star Promos
Escavalier,Darkness Ablaze
Flareon,Ancient Origins
Flareon,BW Black Star Promos
Flareon,Dark Explorers
Feraligatr,Mysterious Treasures
Fearow,Sun & Moon
Pheromosa-GX,Ultra Prism
Poliwrath,EX Unseen Forces
Exploud,EX Emerald
Exploud,EX Hidden Legends
Exploud,Supreme Victors
Espeon-GX,Sun & Moon
Espeon-GX,SM Black Star Promos
Espeon-GX,Hidden Fates
Exploud ex,EX Crystal Guardians
Fan Rotom,Rising Rivals
Fearow,Majestic Dawn
Fearow,Phantom Forces
Espeon ex,EX Unseen Forces
Espeon,McDonald's Collection 2013
Espeon,Majestic Dawn
Espeon,Dark Explorers
Poliwhirl,Sun & Moon
Flareon,Jungle
Flareon,Legendary Collection
Entei,Secret Wonders
Flareon,McDonald's Collection 2013
Electrode,Shining Legends
Pikachu,Hidden Fates
Electrode,Plasma Freeze
Electrode,Hidden Fates
Flygon,Rising Rivals
Electrode,Boundaries Crossed
Flygon,Secret Wonders
Flygon δ,EX Holon Phantoms
Pikachu,Battle Academy (Pikachu)
Pignite,Cosmic Eclipse
Fraxure,BREAKthrough
Fraxure,Dragon Vault
Pidgeot,Team Up
Pidgeot,Flashfire
Probopass,Dragons Exalted
Flygon,EX Dragon
Electrode,Stormfront
Florges,Cosmic Eclipse
Piloswine,EX Team Rocket Returns
Entei,Neo Revelation
Fletchinder,Phantom Forces
Pinsir,Undaunted
Piloswine,Triumphant
Piloswine,Stormfront
Piloswine,Legends Awakened
Empoleon,Stormfront
Pikachu,Poké Card Creator Pack
Floatzel,Dragons Exalted
Floatzel,Great Encounters
Emolga-EX,XY
Floatzel,Unleashed
Pikachu,SWSH Black Star Promos
Pikachu,Pokémon Rumble
Quilava,Call of Legends
Quilava,Lost Thunder
Hitmonlee,Undaunted
Metang,Vivid Voltage
Dratini,Team Up
Exeggutor,Plasma Freeze
Regice,Celestial Storm
Regice ex,EX Hidden Legends
Metagross,Supreme Victors
Metagross,Plasma Freeze
Metagross,Celestial Storm
Metagross,BW Black Star Promos
Regigigas,Stormfront
Haunter,Diamond & Pearl
Hawlucha,Furious Fists
Hawlucha-EX,Furious Fists
Regigigas-EX,Next Destinies
Regirock,Ancient Origins
Meowstic-EX,Generations
Hariyama,Arceus
Gyarados,Dragons Exalted
Milotic,Flashfire
Gurdurr,XY
Growlithe,Sun & Moon
Grumpig,Boundaries Crossed
Mewtwo ex,EX Ruby & Sapphire
Grumpig,Crimson Invasion
Mewtwo,Majestic Dawn
Drifblim,Diamond & Pearl
Grumpig,XY
Rayquaza δ,EX Holon Phantoms
Rayquaza-EX,BW Black Star Promos
Rayquaza-EX,Dragons Exalted
Gurdurr,BW Trainer Kit (Excadrill)
Mew,Pokémon Rumble
Gurdurr,Black & White
Drifblim,DP Black Star Promos
Gurdurr,Dark Explorers
Meowstic,XY Black Star Promos
Meowstic,Generations
Meowstic,Flashfire
Regirock ex,EX Hidden Legends
Herdier,Boundaries Crossed
Herdier,Cosmic Eclipse
Marowak,Triumphant
Marowak,Fates Collide
Marowak,Dragons Exalted
Marowak,BREAKthrough
Hippowdon,Diamond & Pearl
Hitmonchan,Furious Fists
Hitmonchan,Generations
Hitmonchan,Sword & Shield
Hitmonlee,Call of Legends
Hitmonlee,HGSS Black Star Promos
Maractus,Sword & Shield
Hitmonlee,Legends Awakened
Hitmonlee,Neo Destiny
Masquerain,Plasma Blast
Heracross,Neo Genesis
Heliolisk,XY Black Star Promos
Mega Lopunny & Jigglypuff-GX,Cosmic Eclipse
Heatran,Arceus
Meloetta,BREAKthrough
Registeel,Celestial Storm
Meganium δ,EX Dragon Frontiers
Meganium,Mysterious Treasures
Meganium,Call of Legends
Heatran,Pokémon Rumble
Heliolisk,Flashfire
Medicham ex,EX Emerald
Medicham,Unified Minds
Drapion,Stormfront
Medicham,Supreme Victors
Medicham,Rebel Clash
Medicham,Primal Clash
Milotic,Dragons Exalted
Milotic,Primal Clash
Ninjask,Dragons Exalted
Gliscor,Phantom Forces
Nidoking δ,EX Dragon Frontiers
Nidoking,Steam Siege
Nidoking,Secret Wonders
Gliscor LV.X,Legends Awakened
Gogoat,XY Black Star Promos
Musharna,Plasma Blast
Musharna,Boundaries Crossed
Golduck,Sun & Moon
Golem,EX Dragon
Golem,Expedition Base Set
Munna,Black & White
Dugtrio,XY
Dugtrio,Sword & Shield
Golett,Shining Legends
Dugtrio,Generations
Nidoqueen,Plasma Freeze
Glalie,Plasma Blast
Milotic δ,EX Dragon Frontiers
Glalie,EX Power Keepers
Dusclops,Vivid Voltage
Ninetales,Pokémon Rumble
Ninetales,Mysterious Treasures
Raichu,Base Set
Raichu,Base Set 2
Ninetales,HeartGold & SoulSilver
Ninetales,Call of Legends
Glaceon,Furious Fists
Raichu,Expedition Base Set
Glaceon,Majestic Dawn
Glaceon,Plasma Freeze
Raichu,POP Series 9
Raichu,Supreme Victors
Nidorino,Team Up
Nidorina,Primal Clash
Dugtrio,EX Crystal Guardians
Muk,Next Destinies
Golurk,Noble Victories
Mudbray,Vivid Voltage
Druddigon,Legendary Treasures
Mismagius,BREAKthrough
Grotle,Platinum
Druddigon,BW Black Star Promos
Raticate,Evolutions
Groudon,EX Hidden Legends
Grovyle,Stormfront
Drifblim,Undaunted
Growlithe,McDonald's Collection 2018
Growlithe,McDonald's Collection 2018 (French)
Growlithe,Rebel Clash
Miltank,Lost Thunder
Miltank,Flashfire
Drifblim,Legends Awakened
Miltank,Crimson Invasion
Druddigon,Noble Victories
Druddigon,Plasma Blast
Mismagius,Platinum
Morgrem,Rebel Clash
Gothitelle,Emerging Powers
Gothitelle,Furious Fists
Mow Rotom,Ultra Prism
Mothim,Fates Collide
Morpeko,SWSH Black Star Promos
Rampardos,Ultra Prism
Moltres ex,EX FireRed & LeafGreen
Misty's Dewgong,Gym Challenge
Rapidash,Cosmic Eclipse
Moltres,Wizards Black Star Promos
Rapidash,Team Up
Moltres,Skyridge
Greninja,BREAKpoint
Greninja,XY Black Star Promos
Magikarp,Mysterious Treasures
Klinklang,Dark Explorers
Team Aqua's Sealeo,Double Crisis
Shiftry,Rising Rivals
Cramorant,Vivid Voltage
Shiinotic,Darkness Ablaze
Shiinotic,Burning Shadows
Shiftry ex,EX Power Keepers
Cradily ex,EX Team Magma vs Team Aqua
Shiftry,XY Black Star Promos
Cradily,Plasma Blast
Volcarona,Noble Victories
